Name;URL;Location;Country;Industries;Industry Group;Description;Full Description or Description;Dealership;AV terminology;Transport ;Mobility;Status;Triangulation?;Layer_Member;Testing Layer
Lyft;lyft.com;San Francisco;United States;Apps, Mobile Apps, Ride Sharing, Software, Transportation;Apps, Mobile, Software, Transportation;Lyft designs, markets, and operates a mobile application that matches drivers with passengers who request rides.;Lyft designs, markets, and operates a mobile application that matches drivers with passengers who request rides, and also allows payment through the app. It also allows riders to schedule rides up to seven days in advance. Its services are primarily focused on college, university, and corporate communities. Lyft is a fast-growing ridesharing company in the U.S. and is available to 95 percent of the US population. Lyft was founded in June 2012 by Logan Green and John Zimmer in San Francisco, California.;False;False;False;False;Active;Own;L4 SAV;
Uber;www.uber.com;San Francisco;United States;;Logistics;Apps, Mobile, Software, Transportation;Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.;False;False;False;False;Uber develops, markets, and operates a ridesharing mobile application that allows consumers to submit a trip request that is routed to crowd-sourced partner drivers. Its smartphone application connects drivers with people who need a ride. Its application enables users to arrange and schedule transportation and/or logistics services with third-party providers. They take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world. It also provides Windows Phone App, iPhone App, Blackberry App, and Android App. Uber serves customers in North, Central, and South Americas as well as Europe, the Middle East, Africa, and the Asia Pacific Garrett Camp, Oscar Salazar, and Travis Kalanick founded UberCab in March 2009 which became Uber Technologies in October 2010, with its headquarters in San Francisco California, and an engineering center in Bengaluru in India as well as a regional office in Singapore.;Orsay;L4 SAV;
Bolt;bolt.eu;Tallinn;Estonia;Car Sharing, Food Delivery, InsurTech, Mobile Apps, Transportation;Apps, Financial Services, Food and Beverage, Mobile, Software, Transportation;Bolt is a mobility app that provides rides, food delivery, scooters, and car-sharing services.;Bolt is the first European super-app with a mission to make cities for people, not cars Bolt has 100 million customers in 45 countries across Europe and Africa. The company challenges personal car ownership, offering better alternatives for every use case, including ride-hailing, shared cars and scooters, and food and grocery delivery. Bolt was founded in 2013 and is headquartered in Tallinn, Estonia.;False;False;False;False;Active;Neckermann;L4 SAV;
Ioki;ioki.com/en/;Frankfurt;Germany;Software, Transportation;Software, Transportation;Ioki is a technology firm that provides smart on-demand mobility solutions & services through their mobility analytics software.;Ioki is a technology firm that provides smart on-demand mobility solutions & services through their mobility analytics software.;False;False;False;False;Active;https://research.frost.com/assets/1/f0a502e4-4463-11e8-b626-1aa9f74f20ad/f4fb3b7c-f081-11ed-833c-16d5f5103637/research?eui=b1d60792-692f-11ee-b798-8e13cab8025c&augSearchTerm=shared%20autonomous%20vehicle&pagename=home&ssokey=&loginas=false&sessionId=4328_1701015445470_gtmdp5zEBP7UN3c5jczL&tkn=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImVpbm8uc2NodWx6ZS1zdGVpbmVuQHN0dWRlbnQudW5pc2cuY2giLCJ0ZXVzZXJpZCI6NzY1NjEsInRlbmFudHVzZXJpZCI6NDMyOCwiaWF0IjoxNzAxMDE1NDI3LCJleHAiOjE3MDExMDE4Mjd9.0GEAIQ4r7zLyYEUAPg_apJ9PyMvFnhG-c2nUunARn3k;L4 SAV;
Bestmile;www.bestmile.com;San Francisco;United States;Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Cloud Computing, Fleet Management, Machine Learning, Mobile, SaaS, Transportation;Artificial Intelligence (AI), Data and Analytics, Internet Services, Mobile, Science and Engineering, Software, Transportation;Bestmile is a fleet orchestration platform for mobility providers to deploy, manage and optimize AV and human-driven vehicle fleets.;Bestmile is a fleet orchestration platform for mobility providers to deploy, manage and optimize AV and human-driven vehicle fleets. The cloud platform enables the intelligent operation and optimization of autonomous mobility services, managing fixed-route, and on-demand services, regardless of the vehicle brand or type. Bestmile's on-demand autonomous mobility services platform is being used daily in city centers on four continents on both pedestrian areas and open roads. Bestmile also provides distributed and highly scalable cloud technology leveraging the full potential of autonomous vehicles to tackle global mobility challenges. The platform supports every operating model from fixed routes with fixed schedules to on-demand door-to-door services, or combinations of them, enabling optimized and dynamic services. The company mission is to provide a mobility platform that allows operators to support multi-modal, multi-service offerings in a safe, accessible, efficient and lucrative manner by integrating autonomous vehicles in the existing transportation system with conventional vehicles. Bestmil was founded on January 28, 2014, and is headquartered in San Francisco, California, United States.;False;True;True;False;Active;AV;L3 SAV;
Keolis;www.keolis.com/en.html;Paris;France;Public Transportation;Transportation;Keolis is a French-owned public transit operator servicing millions of passengers around the world.;Keolis is a global leader in autonomous vehicles. At the end of 2019, Keolis drove more than 94,000 autonomous kilometres in over 35 places all over the world and these driverless shuttles have already transported more than 189,000 passengers. Several successful projects have already been trialled in Belgium too, with driverless buses operating in Han-sur-Lesse and Waterloo.;False;True;True;True;;Orsay;L3 SAV;
Transdev ATS;https://www.transdev.com/en/our-solutions-and-innovations/autonomous-transport/;Issy-les-moulineaux;France;Mobile, Public Transportation, Transportation;Mobile, Transportation;With its complementary geographic footprint, expertise and service offerings, Transdev offers a unique response to public transport needs.;"Within Transdev Autonomous Transport Systems, we are developing global solutions to support transport operators in the operation of autonomous vehicles within their networks.
We provide technologies, such as an agnostic monitoring platform, and services, such as preparation of operational procedures, support, assistance.
Our goal is to facilitate the integration of fleets of all types of shared autonomous vehicles that can complement the existing mobility offer. ";False;True;True;True;Active;Own selected;L3 SAV;
Beep;ridebeep.com;Orlando;United States;Automotive, Autonomous Vehicles, Information Technology;Information Technology, Transportation;Beep is an autonomous mobility solution company that delivers transportation utilizing driverless, electric, multi-passenger vehicles.;Beep is an autonomous mobility solution company that delivers transportation utilizing driverless, electric, multi-passenger vehicles. It specializes in planning, deploying, and managing advanced autonomous shuttles in both public and private communities seeking to more safely connect people, places, and services in first-mile, last-mile mobility networks within controlled speed areas. The company aims to enable mobility for all with the services they provide. Beep also leverages the data and learnings from each live deployment to produce vehicle agnostic, edge solutions that are advancing the safety, access, artificial intelligence, and driverless operating capabilities of autonomous platforms thus advancing the use of these new, innovative, environmentally-friendly transportation solutions.;False;True;True;True;Active;AV;L3 SAV;
Beeline Mobility;www.beelinemobility.com;Seattle;United States;Autonomous Vehicles, Last Mile Transportation, Public Transportation, Transportation;Transportation;Beeline Mobility is a transportation company that provides autonomous vehicle services.;Beeline Mobility provides employee shuttles and student transportation services. They provide last mile transportation, commuter, inter city bus, and autonomous vehicle services. They also provide digital display, interior, battery pack up, upgradeable, and sustainable services.;False;True;True;True;Active;AV;L3 SAV;
MOIA;www.moia.io/en/career;—;Germany;Electric Vehicle, Ride Sharing, Transportation;Transportation;MOIA creates new mobility solutions that make the cities more livable – for everyone.;MOIA creates new mobility solutions that make the cities more livable – for everyone. They aim to reduce traffic, noise, and emissions in the city and make it more livable and sustainable. It was founded in 2016.;False;False;False;False;Active;Own selected;L3 SAV;
Via;www.ridewithvia.com;New York;United States;Logistics, Mobile Apps, Real Time, Ride Sharing, Transportation;Apps, Mobile, Other, Software, Transportation;Via is a transport company that offers public mobility solutions for transit agencies, school districts, cities, and corporations.;Via is a re-engineering public transit company that develops and provides on-demand public mobility solutions for commuters. The company transforms public transit, from a regulated system of rigid routes and schedules to a fully dynamic, on-demand network. Via's mobile app connects passengers who are headed the same way, allowing riders to seamlessly share a premium vehicle. The platform operates in the United States and in Europe through its joint venture with Mercedes-Benz Vans, ViaVan. Via's technology is deployed worldwide through partner projects with public transportation agencies, private transit operators, taxi fleets, private companies, and universities, integrating with public transit infrastructure to power cutting-edge on-demand mobility. Via's software offers an end-to-end solution for planning, optimizing, and operating efficient and equitable transit systems, thereby unlocking opportunity for all and constructing resilient cities for the future.;False;False;False;False;Active;Own selected;L3 SAV;
HOLON;https://www.driveholon.com/de/;Salzburg;Austria;Automotive, Industrial Design, Manufacturing;Design, Hardware, Manufacturing, Transportation;HOLON will be the first OEM for autonomous movers with the standards and scaling potential we know from the automotive industry: Leading in safety, passenger comfort and production quality. With our platform technology, our vehicle expertise and our strong partner network, it’s our goal to redefine passenger transport – in both the public and private sectors.;HOLON will be the first OEM for autonomous movers with the standards and scaling potential we know from the automotive industry: Leading in safety, passenger comfort and production quality. With our platform technology, our vehicle expertise and our strong partner network, it’s our goal to redefine passenger transport – in both the public and private sectors.;False;True;True;False;Active;"AV; Eino changed";L2 SAV;
Nuro;nuro.ai;Mountain View;United States;Artificial Intelligence (AI), Autonomous Vehicles, Robotics, Transportation;Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation;Nuro develops and operates a fleet of electric and autonomous vehicles.;Nuro is a technology company that develops a self-driving vehicle for local goods transportation. They transform local commerce through autonomous delivery. Their service helps merchants deliver goods to customers.;False;True;True;False;Active;AV;L2 SAV;
EasyMile;easymile.com/;Toulouse;France;Automotive, Autonomous Vehicles, Electric Vehicle, Robotics, Software, Transportation;Hardware, Science and Engineering, Software, Transportation;EasyMile is a high-tech startup specialized in providing both, software powering autonomous vehicles and smart mobility solutions.;EasyMile is a high-tech startup specialized in providing both software powering autonomous vehicles and the last mile smart mobility solutions. EasyMile partners with blue-chip manufacturers to autonomize their vehicles with award-winning technology built on safety-by-design, ready for deployment today, with clear client benefits. The company’s cutting-edge technology is revolutionizing passenger and goods transportation, offering completely new mobility options. Clients include the world’s largest transport operators, city authorities, airports, corporations, business parks, and universities. EasyMile is headquartered in Toulouse (France) with offices in Singapore and Denver (USA). It also operates through value-added resellers notably in Japan and the Middle East.;False;True;True;False;Active;AV;L2 SAV;
Milla;www.millagroup.fr;Meudon;France;Autonomous Vehicles, Electric Vehicle, Transportation;Transportation;Milla develops, produces, and sells self-driving cars for on-demand and shared transportation.;Milla develops, produces, and sells self-driving cars for on-demand and shared transportation. MILLA is regarded as the top maker of automated shared vehicles, their cutting-edge autonomous cars are designed specifically for the transportation of both people and goods.;False;True;True;False;Active;AV;L2 SAV;
NAVYA;navya.tech;Paris;France;Autonomous Vehicles, Electric Vehicle, Image Recognition, Information Technology, Robotics, Transportation;Data and Analytics, Hardware, Information Technology, Science and Engineering, Software, Transportation;NAVYA is a leading French name in the autonomous vehicle market and in smart shared mobility solutions.;NAVYA is a leading French name in the autonomous vehicle market and in smart shared mobility solutions. With more than 200 employees in France (Paris and Lyon) and in the United States (Michigan), NAVYA develops, manufactures and commercializes autonomous, driverless, and electric vehicles that combine robotic, digital and driving technologies at the highest level. Since 2015, NAVYA has been the first to market and put into service autonomous mobility solutions, shuttles and cabs. NAVYA has a range of two autonomous vehicles: the AUTONOM®SHUTTLE, launched in September 2015, of which more than 100 have already been produced as of today and 89 sold in 17 countries as of June 30, 2018, notably in the United States, France, Germany, Switzerland, Japan and Australia, and the AUTONOM®CAB, unveiled in November 2017 and whose first road tests will start shortly.;False;True;False;True;Active;AV;L2 SAV;
